country,year,week,date,conf,susp,total
Ecuador,2015,38,26/09/2015,NA,NA,NA
Ecuador,2015,39,03/10/2015,NA,NA,NA
Ecuador,2015,40,10/10/2015,NA,NA,NA
Ecuador,2015,41,17/10/2015,NA,NA,NA
Ecuador,2015,42,24/10/2015,NA,NA,NA
Ecuador,2015,43,31/10/2015,NA,NA,NA
Ecuador,2015,44,07/11/2015,NA,NA,NA
Ecuador,2015,45,14/11/2015,NA,NA,NA
Ecuador,2015,46,21/11/2015,NA,NA,NA
Ecuador,2015,47,28/11/2015,NA,NA,NA
Ecuador,2015,48,05/12/2015,NA,NA,NA
Ecuador,2015,49,12/12/2015,NA,NA,NA
Ecuador,2015,50,19/12/2015,NA,NA,NA
Ecuador,2015,51,26/12/2015,NA,NA,NA
Ecuador,2015,52,02/01/2016,NA,NA,NA
Ecuador,2016,1,09/01/2016,2,7,9
Ecuador,2016,2,16/01/2016,5,7,12
Ecuador,2016,3,23/01/2016,6,7,13
Ecuador,2016,4,30/01/2016,12,7,19
Ecuador,2016,5,06/02/2016,0,7,7
Ecuador,2016,6,13/02/2016,14,7,21
Ecuador,2016,7,20/02/2016,1,7,8
Ecuador,2016,8,27/02/2016,0,7,7
Ecuador,2016,9,05/03/2016,13,7,20
Ecuador,2016,10,12/03/2016,0,7,7
Ecuador,2016,11,19/03/2016,10,2,12
Ecuador,2016,12,26/03/2016,6,4,10
Ecuador,2016,13,02/04/2016,2,63,65
Ecuador,2016,14,09/04/2016,1,1,2
Ecuador,2016,15,16/04/2016,3,16,19
Ecuador,2016,16,23/04/2016,2,15,17
Ecuador,2016,17,30/04/2016,2,38,40
Ecuador,2016,18,07/05/2016,0,0,0
Ecuador,2016,19,14/05/2016,35,8,43
Ecuador,2016,20,21/05/2016,29,176,205
Ecuador,2016,21,28/05/2016,NA,NA,NA
